高密市公路事业发展中心国道G309青兰线西段绿化提升项目中标公告 | 2020.02.28 | 高密市公路事业发展中心,高密市公路事业发展中心 | 山东诚德信项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13939466.htm
窗帘采购项目结果公告(包1) | 2020.02.28 | 湄洲湾职业技术学院 | 福建省一十招标代理有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938448.htm
珠海市技师学院2020年吉大校区、金湾校区物业管理服务采购项目中标更正公告 | 2020.02.28 | 珠海市技师学院 | 珠海市公共资源交易中心中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938424.htm
梅州市人民医院奥林巴斯电子支气管镜设备保养维修服务项目（项目编号：0724-1901D12N6236）中标公告 | 2020.02.28 | 梅州市人民医院 | 国义招标股份有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938398.htm
甘孜州兴运物流有限责任公司川藏（新都桥）现代商贸物流园区规划环境影响评价编制服务（第二次）中标公告 | 2020.02.28 | 甘孜州兴运物流有限责任公司 | 四川名哲工程项目管理有限公司中标公告 | 四川 | 服务/环境服务/其他环境治理服务/其他环境治理服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938638.htm
中山市代建项目管理办公室金钟湖公园改造提升工程（功能性检测）工程的中标结果公告 | 2020.02.28 | 中山市代建项目管理办公室 | 深圳市合创建设工程顾问有限公司中山分公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938405.htm
图像数据处理服务器采购项目（项目编号：0835-200FE5700151）中标公告 | 2020.02.28 | 湛江某单位 | 广东元正招标采购有限公司中标公告 | 广东 | 货物/通用设备/计算机设备及软件/计算机设备/服务器 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938408.htm
淄博市应急管理局智慧应急管控系统项目中标公告 | 2020.02.28 | 淄博市应急管理局 | 山东泽宝项目管理咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938397.htm
通渭县华家岭镇人民政府通渭县华家岭镇2020年草畜产业配套铡草机奖补项目中标公告 | 2020.02.28 | 通渭县华家岭镇人民政府 | 甘肃仁通招标有限公司中标公告 | 甘肃 | 货物/专用设备/农业和林业机械 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938428.htm
广西翔正项目管理有限公司关于昭平县第四中学食堂食品原材料集中采购和配送企业服务采购（项目编号：ZPSZ2020服字001号）中标结果公告 | 2020.02.28 | 昭平县第四中学 | 广西翔正项目管理有限公司中标公告 | 广西 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938394.htm
梅州市人民医院采购医疗设备项目（九）（项目编号：0724-1901D12N6034）中标公告 | 2020.02.28 | 梅州市人民医院 | 国义招标股份有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938395.htm
茂名市公安局电白分局电白区强制隔离戒毒一所污水处理的成交公告 | 2020.02.28 | 茂名市公安局电白分局 | 茂名市和胜招标代理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938418.htm
毕节市民族中学采购物业管理服务项目（第二次）中标（成交）公告 | 2020.02.28 | 毕节市民族中学 | 贵州恩方工程建设咨询有限公司中标公告 | 贵州 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938374.htm
深圳市国家气候观象台天文科普智慧园区维护项目中标公告 | 2020.02.28 | 深圳市国家气候观象台 | 深圳中邦国际工程科技顾问有限公司中标公告 | 广东 | 货物/专用设备/专用仪器仪表/天文仪器 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938327.htm
梁山县黑虎庙镇人民政府“绿满梁山”毛庄村绿化工程中标公告 | 2020.02.28 | 梁山县黑虎庙镇人民政府 | 济宁市梁山县政府采购中心中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938330.htm
2020年雷山县西江镇笋用竹种植项目（整地服务）中标（成交）公告 | 2020.02.28 | 雷山县西江镇人民政府 | 贵州万和工程招标代理造价咨询有限责任公司中标公告 | 贵州 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938315.htm
2020年雷山县西江镇茶园套种桂花等经济林木项目（桂花苗木种植服务）中标（成交）公告 | 2020.02.28 | 雷山县西江镇人民政府 | 贵州万和工程招标代理造价咨询有限责任公司中标公告 | 贵州 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938304.htm
惠来县公路局惠来县华湖镇区市政排水配套工程（惠政桥至华湖桥段）成交公告 | 2020.02.28 | 惠来县公路局 | 广东启正招标代理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938303.htm
2020年雷山县西江镇茶园套种桂花等经济林木项目（桂花苗木）中标（成交）公告 | 2020.02.28 | 雷山县西江镇人民政府 | 贵州万和工程招标代理造价咨询有限责任公司中标公告 | 贵州 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938252.htm
2020年雷山县天麻科技育种教学示范基地建设项目（种植管理）中标（成交）公告 | 2020.02.28 | 雷山县中药材产业发展中心 | 贵州万和工程招标代理造价咨询有限责任公司中标公告 | 贵州 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938281.htm
关于福州高新区生产建设项目水土保持监测单位和验收评估报告编制单位备选库招标的中标公告 | 2020.02.28 | 福州高新技术产业开发区农林水局 | 福建三仟招标有限公司中标公告 | 福建 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938545.htm
2020年雷山县望丰乡笋用竹建设项目（新建种植375亩笋用竹3万株）采购中标（成交）公告 | 2020.02.28 | 雷山县望丰乡人民政府 | 贵州万和工程招标代理造价咨询有限责任公司中标公告 | 贵州 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938276.htm
福建元泰招标有限公司关于福安市电子商务公共服务中心改造修缮项目竞争性谈判公告中标公告 | 2020.02.28 | 福安市商务局 | 福建元泰招标有限公司中标公告 | 福建 | 工程/其他建筑工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938542.htm
母竹采购中标（成交）公告 | 2020.02.28 | 雷山县方祥乡人民政府 | 贵州万和工程招标代理造价咨询有限责任公司中标公告 | 贵州 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938275.htm
南雄市中心城区雨污分流排水管网改造项目规划编制的中标公告 | 2020.02.28 | 南雄市住房和城乡建设局 | 广州穗科建设管理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938258.htm
蒙山县农业农村局蒙山县农业生产救灾物资采购项目【MSZC2019-G1-09458-001（重）】中标结果公告 | 2020.02.28 | 蒙山县农业农村局 | 广西建设工程项目管理中心有限责任公司中标公告 | 广西 | 货物/基础化学品及相关产品/化学原料及化学制品/化学肥料 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938546.htm
2020年雷山县望丰乡茶叶套种青钱柳种植项目（新建1315亩26300株种植基地）采购中标（成交）公告 | 2020.02.28 | 雷山县望丰乡人民政府 | 贵州万和工程招标代理造价咨询有限责任公司中标公告 | 贵州 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938273.htm
石狮市水务建设工程有限公司防撞型消防栓采购及服务中标公告 | 2020.02.28 | 石狮市水务建设工程有限公司 | 厦门市公物采购招投标有限公司泉州分公司中标公告 | 福建 | 货物/其他货物/其他不另分类的物品 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938234.htm
福建鑫盛项目管理咨询有限公司关于德化县水利局冲锋舟及应急救援包采购中标公告 | 2020.02.28 | 德化县水利局 | 福建鑫盛项目管理咨询有限公司中标公告 | 福建 | 货物/其他货物/其他不另分类的物品 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938501.htm
甘孜州兴运物流有限责任公司川藏（新都桥）现代商贸物流园区城市设计编制服务（第二次）中标公告 | 2020.02.28 | 甘孜州兴运物流有限责任公司 | 四川名哲工程项目管理有限公司中标公告 | 四川 | 服务/公共设施管理服务/城市规划和设计服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938503.htm
烟台市政府投资工程建设服务中心机场路立交桥续建电力迁改工程电缆采购中标公告 | 2020.02.28 | 烟台市政府投资工程建设服务中心 | 山东普来恩工程设计有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938233.htm
国家税务总局广东清远高新技术产业开发区税务局信息技术咨询服务采购项目中标公告 | 2020.02.28 | 国家税务总局广东清远高新技术产业开发区税务局 | 深圳市中联建工程项目管理有限公司中标公告 | 广东 | 服务/信息技术服务/信息技术咨询服务/其他信息技术咨询服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938176.htm
北京市西城区人民政府新街口街道办事处新街口街道剩余片区和主要大街的物业管理服务项目中标公告 | 2020.02.28 | 北京市西城区人民政府新街口街道办事处 | 北京华采招标代理有限公司中标公告 | 北京 | 服务/房地产服务/物业管理服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938269.htm
广西火天信工程管理咨询有限公司安保警务服务（YLZC2019-G3-614889-HTXZ）中标结果公告 | 2020.02.28 | 博白县人民检察院 | 广西火天信工程管理咨询有限公司中标公告 | 广西 | 服务/商务服务/安全服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938205.htm
东莞市麻涌镇人民政府办公室东莞市麻涌镇镇府大院及镇政务中心物业管理服务项目中标公告 | 2020.02.28 | 东莞市麻涌镇人民政府办公室 | 东莞市德晟招标有限公司中标公告 | 广东 | 服务/房地产服务/物业管理服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938437.htm
海口市秀英区发展和改革委员会-秀英区2020年政府投资项目咨询评估服务项目-中标公告 | 2020.02.28 | 海口市秀英区发展和改革委员会 | 海南鑫赛项目管理有限公司中标公告 | 海南 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938187.htm
北京市西城区人民政府新街口街道办事处新街口街道主要大街、地铁周边和除白塔寺地区外的背街小巷环卫保洁服务项目中标公告 | 2020.02.28 | 北京市西城区人民政府新街口街道办事处 | 北京华采招标代理有限公司中标公告 | 北京 | 服务/环境服务/城镇公共卫生服务/其他城镇公共卫生服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938267.htm
广州市番禺区石楼镇人民政府虎门二桥（番禺段）石楼镇沙南村安置区工程-污水设备采购项目的中标、成交公告 | 2020.02.28 | 广州市番禺区石楼镇人民政府 | 广东桓宇招标采购有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938202.htm
潮州市人民医院购置“医疗机构综合责任保险一揽子”的资格招标的中标公告 | 2020.02.28 | 潮州市人民医院 | 潮州市正得项目管理咨询有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938186.htm
贺州市人民医院彩色多普勒超声诊断仪采购项目（HZZC2019-G1-000091-HZSG）中标公告 | 2020.02.28 | 贺州市人民医院 | 贺州市公共资源交易中心中标公告 | 广西 | 货物/专用设备/医疗设备/医用超声波仪器及设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938199.htm
