玉田县住房和城乡建设局无终街国槐、白蜡树移栽工程中标公告 | 2020.02.24 | 玉田县住房和城乡建设局 | 金诺智信工程项目管理有限公司中标公告 | 河北 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917503.htm
广州市花都区公园管理中心秀全公园、飞鹅岭山顶公园2020-2022年养护服务项目的中标、成交公告 | 2020.02.24 | 广州市花都区公园管理中心 | 广州市汇源通信建设监理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917285.htm
东莞市石排镇规划管理所东莞市石排镇中心区发展战略、城市设计与行动大纲编制项目（重新采购）的中标、成交公告 | 2020.02.24 | 东莞市石排镇规划管理所 | 广东中晟工程咨询有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917255.htm
通勤班车业务发包项目中标公示 | 2020.02.24 | 中国航发长春控制科技有限公司 | 吉林省万力工程项目管理有限公司中标公告 | 吉林 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917385.htm
北京京北大地园林绿化工程有限公司2020年入围项目中标公告 | 2020.02.24 | 北京京北大地园林绿化工程有限公司 | 德汇工程管理(北京)有限公司中标公告 | 北京 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917201.htm
陇西县农业农村局陇西县2020年高标准农田建设项目初步设计中标公告 | 2020.02.24 | 陇西县农业农村局 | 中陇工程管理有限公司中标公告 | 甘肃 | 服务/农林牧副渔服务/农业服务/灌溉系统服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917207.htm
广州市生态环境局广州市生态环境准入决策强化技术支撑服务项目（2020-2022年）的中标、成交公告 | 2020.02.24 | 广州市生态环境局 | 广东省机电设备招标有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917185.htm
集美大学港口与环境工程学院基础建设改造项目中标公告 | 2020.02.24 | 集美大学 | 锐驰项目管理有限公司中标公告 | 福建 | 工程/装修工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917325.htm
马龙工业园区红桥片区基础设施建设PPP项目PPP咨询服务中标公告 | 2020.02.24 | 曲靖市马龙工业园区管理委员会 | 云南明睿工程咨询有限公司中标公告 | 云南 | 服务/工程咨询管理服务/工程政策咨询服务/其他工程政策咨询服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917166.htm
广州市南沙区黄阁镇人民政府广州市南沙区黄阁镇财政评审服务项目的中标、成交公告 | 2020.02.24 | 广州市南沙区黄阁镇人民政府 | 永道工程咨询有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917163.htm
惠州仲恺高新技术产业开发区陈江街道办事处社区卫生服务中心医疗设备采购项目中标公告 | 2020.02.24 | 惠州仲恺高新技术产业开发区陈江街道办事处社区卫生服务中心 | 惠州市酩鸿建设项目管理有限公司中标公告 | 广东 | 货物/专用设备/医疗设备/消毒灭菌设备及器具,货物/专用设备/医疗设备/其他医疗设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917246.htm
中山大学附属第三医院天河院区综合大楼EICU装修工程（0809-1940GZG21C09）中标结果公告 | 2020.02.24 | 中山大学附属第三医院 | 广东华伦招标有限公司中标公告 | 广东 | 工程/装修工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917096.htm
儋州市环境卫生管理局-测量儋州市道路清扫保洁面积-中标公告 | 2020.02.24 | 儋州市环境卫生管理局 | 海南政辉招投标代理有限公司中标公告 | 海南 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917095.htm
雷山县丹江镇第三幼儿园场平工程中标（成交）公告 | 2020.02.24 | 雷山县教育和科技局 | 贵州华松天成工程咨询有限公司中标公告 | 贵州 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917085.htm
宁夏回族自治区商务厅《宁夏今日商务》编辑出版服务采购项目中标公告 | 2020.02.24 | 宁夏回族自治区商务厅 | 宁夏一乾招标代理有限公司中标公告 | 宁夏 | 服务/商务服务/印刷和出版服务/出版服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917023.htm
南安市应急管理局采购智能化工程设备货物类采购项目结果公告(包1) | 2020.02.24 | 南安市应急管理局 | 福建云锋招标有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917032.htm
闽侯县第二医院后勤服务类采购项目结果公告(包1) | 2020.02.24 | 闽侯县第二医院 | 福州晋建工程造价咨询有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917020.htm
福清市妇幼保健院全自动血液细胞分析仪货物类采购项目结果公告(包1) | 2020.02.24 | 福清市妇幼保健院 | 福建科瑞招标有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917046.htm
诏安县机关食堂经营服务结果公告(包1) | 2020.02.24 | 诏安县人民政府办公室 | 福建城域工程咨询有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917048.htm
病案管理及无纸化系统采购项目结果公告(包1) | 2020.02.24 | 福建省福州神经精神病防治院 | 福建诺鑫招标有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917045.htm
集美大学菲华学生住宿楼修缮项目中标公告 | 2020.02.24 | 集美大学 | 锐驰项目管理有限公司中标公告 | 福建 | 工程/装修工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917149.htm
通渭县常河镇政府通渭县常家河镇人民政府通渭县常家河镇2020年草畜产业配套铡草机奖补项目中标公告 | 2020.02.24 | 通渭县常河镇政府 | 甘肃仁通招标有限公司中标公告 | 甘肃 | 货物/专用设备/农业和林业机械 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13916960.htm
清远市清新区2020年乡村绿化美化苗木采购项目的中标、成交结果调整公告 | 2020.02.24 | 清远市清新区林业局 | 清远市志诚项目管理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13916962.htm
云南省昭通监狱2020年度罪犯生活物资采购项目(三次)中标公告 | 2020.02.24 | 云南省昭通监狱 | 昆明联诚通合招标有限公司中标公告 | 云南 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13916945.htm
珠海市香洲区香湾街道办事处珠海市香洲区香湾街道2020年饭堂配送服务采购项目中标公告（第二次） | 2020.02.24 | 珠海市香洲区香湾街道办事处 | 广东巨正建设项目管理有限公司中标公告 | 广东 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13916915.htm
云南省昭通监狱2020年度罪犯生活物资采购项目D包段（猪肉）（三次）中标公告 | 2020.02.24 | 云南省昭通监狱 | 昆明联诚通合招标有限公司中标公告 | 云南 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13916917.htm
廉江市人民医院院史馆、党建展厅、图书馆升级配套系统采购项目（项目编号：0835-190ZE6401781）的中标公告 | 2020.02.24 | 廉江市人民医院 | 广东元正招标采购有限公司湛江分公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13916922.htm
暨南大学原药学院楼三层装修改造工程(0809-1941GDG23C12)中标公告 | 2020.02.24 | 暨南大学 | 广东华伦招标有限公司中标公告 | 广东 | 工程/装修工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13916898.htm
珠海市香洲区香湾街道办事处珠海市香洲区香湾街道2020年饭堂配送服务采购项目的中标、成交结果调整公告 | 2020.02.24 | 珠海市香洲区香湾街道办事处 | 广东巨正建设项目管理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13916897.htm
景谷傣族彝族自治县景谷镇人民政府景谷镇集镇集中安置点活动场所建设项目中标公示 | 2020.02.24 | 景谷傣族彝族自治县景谷镇人民政府 | 普洱市普平工程招标有限责任公司中标公告 | 云南 | 工程/其他建筑工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13916902.htm
海原县自然资源局森林草原防火信息化指挥中心升级改造项目竞争性谈判公告中标公告 | 2020.02.24 | 海原县自然资源局 | 正大鹏安建设项目管理有限公司中标公告 | 宁夏 | 货物/通用设备/办公设备/LED显示屏 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13916894.htm
2019年国家水土保持重点工程淄博市淄川区鲁子峪项目苗木工程中标公告 | 2020.02.24 | 淄博市淄川区水资源管理办公室 | 中杰齐晟项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13916876.htm
五轴数控机床（GZSW19156HG4095）中标结果公告 | 2020.02.24 | 广东海洋大学 | 广州顺为招标采购有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13916875.htm
韶关市粮食和物资储备保障中心粮情测控系统项目改造的中标公告 | 2020.02.24 | 韶关市粮食和物资储备保障中心 | 广东盛远招标有限公司中标公告 | 广东 | 货物/其他货物/其他不另分类的物品 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917010.htm
北京市密云区新城子镇人民政府密云区新城子镇塔沟村、大角峪村、遥桥峪托老中心煤改电及设施改造项目中标公告 | 2020.02.24 | 北京市密云区新城子镇人民政府 | 北京东方华太工程咨询有限公司中标公告 | 北京 | 工程/装修工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13916971.htm
新能源汽车整车及配套零件部件制造基地基础配套设施项目（土石方平整工程一期）评标结果公示 | 2020.02.24 | 南宁市邕宁区城市建设投资有限公司 | 广西新宇建设项目管理有限公司中标公告 | 广西 | 工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13916859.htm
汶上县国土空间规划编制项目中标公告 | 2020.02.24 | 汶上县自然资源和规划局 | 山东喆诚项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13916835.htm
珠海市公安局白蕉派出所2020-2021年度食材配送采购项目中标公告 | 2020.02.24 | 珠海市公安局白蕉派出所 | 广东和致招投标咨询有限公司中标公告 | 广东 | 服务/住宿和餐饮服务/餐饮服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13916836.htm
东莞市住房和城乡建设局市住建局大院物业管理服务项目 | 2020.02.24 | 东莞市住房和城乡建设局 | 广东中凯工程管理咨询有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13916828.htm
广佛肇轻轨四会站连接线公路飞鹅岭段新建工程检测项目的中标、成交结果调整公告 | 2020.02.24 | 肇庆市交通工程质量监督管理站 | 肇庆市永利招标代理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13916811.htm
广东南华工商职业学院平安校园--雪亮工程项目中标公告 | 2020.02.24 | 广东南华工商职业学院 | 广东有德招标采购有限公司中标公告 | 广东 | 货物/通用设备/广播、电视、电影设备/视频设备/视频监控设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13916929.htm
珠海市公安局六乡派出所2020-2021年度食材配送采购项目中标公告 | 2020.02.24 | 珠海市公安局六乡派出所 | 广东和致招投标咨询有限公司中标公告 | 广东 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13916808.htm
