潍坊市寒亭区机关事务服务中心购买调研接待用车项目中标公告 | 2020.02.24 | 潍坊市寒亭区机关事务服务中心 | 山东华信项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13920204.htm
青龙镇水塘寨村委会区石村内道路建设项目中标公告 | 2020.02.24 | 建水县青龙镇人民政府 | 云南科保建设工程招标代理有限公司中标公告 | 云南 | 工程/其他建筑工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919616.htm
青龙镇水塘寨村委会湾子寨至长坡头机耕路建设项目中标公告 | 2020.02.24 | 建水县青龙镇人民政府 | 云南科保建设工程招标代理有限公司中标公告 | 云南 | 工程/其他建筑工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919601.htm
晋江市益农投资发展有限公司晋江市九十九溪流域田园风光拓展区高标准农田建设项目中标结果公示 | 2020.02.24 | 晋江市益农投资发展有限公司 | 福建省明建工程咨询有限公司中标公告 | 福建 | 工程/构筑物施工/水利工程施工/灌溉排水工程施工 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919585.htm
通渭县畜牧兽医服务中心2020年第一批涉农整合资金暖棚牛（羊）养殖项目中标公告 | 2020.02.24 | 通渭县畜牧兽医服务中心 | 甘肃仁通招标有限公司中标公告 | 甘肃 | 货物/农林牧渔业产品/饲养动物及其产品/活牲畜 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919571.htm
车载移动信息采集系统采购项目成交公告 | 2020.02.24 | 平度市人民政府办公室 | 青岛广建工程咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919523.htm
车载移动信息采集系统采购项目成交公告 | 2020.02.24 | 平度市人民政府办公室 | 青岛广建工程咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919524.htm
海南省美兰强制隔离戒毒所信息化建设一期项目和175亩地块污水处理设施项目监理工程中标公告 | 2020.02.24 | 海南省美兰强制隔离戒毒所 | 海南亿佳源招标代理有限公司中标公告 | 海南 | 服务/信息技术服务/信息化工程监理服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919593.htm
浙江中正工程项目管理有限公司关于机关食堂配送（两年期）（GGZC2020-G3-40212-ZJZZ）中标公告 | 2020.02.24 | 贵港市覃塘区直属机关后勤服务中心 | 浙江中正工程项目管理有限公司中标公告 | 广西 | 服务/农林牧副渔服务/其他农林牧副渔服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919480.htm
中原区市政设施管理养护所中原区一环二纵七横一期示范街道路整治提质工程工程量清单编制项目中标公告 | 2020.02.24 | 中原区市政设施管理养护所 | 河南天势工程管理有限公司中标公告 | 河南 | 服务/工程咨询管理服务/工程造价咨询服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919438.htm
埠惜路、鹤山路道路交通安全设施建设项目成交公告 | 2020.02.24 | 即墨市公安局交通警察大队 | 中精信工程技术有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919456.htm
埠惜路、鹤山路道路交通安全设施建设项目成交公告 | 2020.02.24 | 即墨市公安局交通警察大队 | 中精信工程技术有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919455.htm
埠惜路、鹤山路道路交通安全设施建设项目成交公告 | 2020.02.24 | 即墨市公安局交通警察大队 | 中精信工程技术有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919448.htm
S309田高线与长深高速连接线工程施工及监理中标公告 | 2020.02.24 | 广饶县公路运输管理处,广饶县公路运输管理处 | 山东科正工程项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919417.htm
文山市人民医院后勤物资配送服务、办公设备维修及办公耗材配送服务采购项目（二包）中标公告 | 2020.02.24 | 文山市人民医院 | 云南边陲招标代理有限公司中标公告 | 云南 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919342.htm
莆田市秀屿区第三实验小学关于日常工作印刷、试卷印刷及日常宣传广告制作采购项目中标公告 | 2020.02.24 | 莆田市秀屿区第三实验小学 | 厦门兴信实投资顾问有限公司中标公告 | 福建 | 货物/纸、纸制品及印刷品/印刷品/其他印刷品,服务/商务服务/印刷和出版服务/印刷服务/其他印刷服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919316.htm
深圳清华大学研究院基于3D全息时空信息定位显示系统中标公告 | 2020.02.24 | 深圳清华大学研究院 | 广东采联采购科技有限公司中标公告 | 广东 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919464.htm
福建省石狮供水股份有限公司企业年金受托管理人项目中标公告 | 2020.02.24 | 福建省石狮供水股份有限公司 | 福建鑫盛项目管理咨询有限公司中标公告 | 福建 | 服务/金融服务/其他金融服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919465.htm
福州民天实业有限公司本部办公场所装修及一层门厅扩建工程中标结果公示 | 2020.02.24 | 福州民天实业有限公司 | 福州晋建工程造价咨询有限公司中标公告 | 福建 | 工程/装修工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919257.htm
福州市城市管理综合行政执法支队保安服务采购服务类采购项目结果公告(包1) | 2020.02.24 | 福州市城市管理综合行政执法支队 | 福建省承诚招标代理有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919273.htm
周宁县精神康复医院医疗设备购置第三批货物类采购项目结果公告(包1) | 2020.02.24 | 周宁县精神康复医院 | 福建禾海天成项目管理有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919258.htm
麒麟区政务服务中心窗口人员工作制服购置项目中标公告 | 2020.02.24 | 曲靖市麒麟区政务服务管理局 | 昆明富玖建设项目管理咨询有限公司中标公告 | 云南 | 货物/纺织原料、毛皮、被服装具/被服装具/被服/普通服装 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919220.htm
清远市清城区人民政府横荷街道办事处购买社工专业服务采购项目（ZD20-ZB002AC）中标、成交结果公告 | 2020.02.24 | 清远市清城区人民政府横荷街道办事处 | 清远市中德招标有限公司中标公告 | 广东 | 服务/医疗卫生和社会服务/社会服务/其他社会服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919231.htm
曲靖市农村生活污水治理专项规划编制项目公开招标中标公告 | 2020.02.24 | 曲靖市生态环境局 | 云南成美招标咨询有限公司中标公告 | 云南 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919219.htm
福建省承诚招标代理有限公司关于福州市城市管理综合行政执法支队保安服务采购服务类采购项目中标公告 | 2020.02.24 | 福州市城市管理综合行政执法支队 | 福建省承诚招标代理有限公司中标公告 | 福建 | 服务/公共设施管理服务/城市市容管理服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919397.htm
央视国际网络有限公司第三批媒体融合项目-央视云和大数据延续项目-服务器设备增补项目中标公告 | 2020.02.24 | 央视国际网络有限公司 | 中技国际招标有限公司中标公告 | 北京 | 货物/通用设备/计算机设备及软件/计算机设备/服务器,货物/通用设备/计算机设备及软件/计算机网络设备/其他网络设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919399.htm
佛山市高明区交通运输综合服务中心高明区石岐路（原高丰路）和万成路道路及配套设施工程现状供电管线迁改及保护项目的中标、成交公告 | 2020.02.24 | 佛山市高明区交通运输综合服务中心 | 广东宏正工程咨询有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919154.htm
市政管理处济南路（苏州路至扬州路）道路建设等八项工程勘察成交公告 | 2020.02.24 | 市政管理处 | 青岛正宏招标有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919140.htm
佛山市城市管理和综合执法局城市管理村居环卫考评的中标公告 | 2020.02.24 | 佛山市城市管理和综合执法局 | 广东中采招标有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919142.htm
市政管理处济南路（苏州路至扬州路）道路建设等八项工程勘察成交公告 | 2020.02.24 | 市政管理处 | 青岛正宏招标有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919139.htm
三六三医院关节内镜手术系统等设备采购项目中标公告 | 2020.02.24 | 三六三医院 | 四川国际招标有限责任公司中标公告 | 四川 | 货物/专用设备/医疗设备/其他医疗设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919364.htm
滨州市沾化区冯家镇、大高镇、富源街道办事处和苇场（海防办事处）土地开发整理项目土地清查、勘测、可行性研究报告、规划设计及预算编制项目中标公告 | 2020.02.24 | 滨州市沾化区自然资源局,滨州市沾化区自然资源局 | 法正项目管理集团有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919157.htm
福建卫生职业技术学院学生公寓10号楼一层1号超市店面租赁项目的中标候选人公示 | 2020.02.24 | 福建卫生职业技术学院 | 福建省智信招标有限公司中标公告 | 福建 | 服务/租赁服务（不带操作员）/其他租赁服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919079.htm
双目视力筛查仪采购及安装项目（二次发布）中标公告 | 2020.02.24 | 天长市妇幼保健计划生育服务中心 | 安徽永信工程咨询有限公司中标公告 | 安徽 | 货物 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919104.htm
天长市铜城镇垃圾中转站高强度压缩脱水设备采购及安装项目中标公告 | 2020.02.24 | 天长市铜城镇人民政府 | 安徽永信工程咨询有限公司中标公告 | 安徽 | 货物 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919078.htm
滁州市信息工程学校关于食堂、超市场地租赁项目（二次）中标（成交）公告 | 2020.02.24 | 滁州市信息工程学校 | 安徽省中灏工程咨询有限公司中标公告 | 安徽 | 服务/维修和保养服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919103.htm
厦门市中医院厦门万翔-公开招标-XM2019-TZ0579微生物全过程管理采购中标公告 | 2020.02.24 | 厦门市中医院 | 厦门万翔招标有限公司中标公告 | 福建 | 货物/专用设备/医疗设备/其他医疗设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919046.htm
清远市清城区公路事务中心特种养护机械采购项目(采购项目编号：441800-202001-130120-0001)中标公告 | 2020.02.24 | 清远市清城区公路事务中心 | 清远市弘粤咨询服务有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919071.htm
江门市新会区某文印室和学习室设备采购项目评标结果公示 | 2020.02.24 | 江门市新会区某采购办 | 广东采联采购科技有限公司中标公告 | 广东 | 货物/专用设备/专用仪器仪表/教学专用仪器 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919101.htm
厦门公物-公开招标-GW2019-QY381-（H2017P01地块）云山郡电梯采购及安装工程-中标候选人公示 | 2020.02.24 | 厦门海投房地产有限公司 | 厦门市公物采购招投标有限公司中标公告 | 福建 | 货物/通用设备/机械设备/塑料压制液压机/起重设备/电梯 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919285.htm
垦利街道老旧小区改造工程设计项目中标公告 | 2020.02.24 | 东营市垦利区垦利街道办事处 | 青岛利业建设咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919013.htm
垦利街道老旧小区改造工程设计项目中标公告 | 2020.02.24 | 东营市垦利区垦利街道办事处 | 青岛利业建设咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919017.htm
街道综合提升服务项目中标公告 | 2020.02.24 | 青岛市即墨区鳌山卫街道办事处 | 青岛大信管理咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919007.htm
街道综合提升服务项目中标公告 | 2020.02.24 | 青岛市即墨区鳌山卫街道办事处 | 青岛大信管理咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919006.htm
食堂餐桌椅项目中标公告 | 2020.02.24 | 中国人民解放军海军大连舰艇学院 | 大连卓尔特管理咨询有限公司中标公告 | 辽宁 | 货物/家具用具/其他家具用具 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918993.htm
食堂后厨设备项目中标公告 | 2020.02.24 | 中国人民解放军海军大连舰艇学院 | 大连卓尔特管理咨询有限公司中标公告 | 辽宁 | 货物/家具用具/厨卫用具/其他厨卫用具 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918992.htm
深圳市龙岗中心医院母胎中央监护系统（9台单胎、3台双胎）中标公告 | 2020.02.24 | 深圳市龙岗中心医院 | 深圳市振东招标代理有限公司中标公告 | 广东 | 货物/专用设备/医疗设备/其他医疗设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919247.htm
购置困难群众御寒棉衣被（重招）的中标、成交公告 | 2020.02.24 | 新兴县民政局 | 云浮市中策招标咨询服务有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918973.htm
白云湖片区政府储备地块（白云区AB2401、AB2402、AB2501、AB2503、AB2303、AB2304规划管理单元）控制性详细规划修改的中标、成交公告 | 2020.02.24 | 广州白云区土地开发中心 | 广东极采招标有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918919.htm
周宁县精神康复医院医疗设备购置第三批货物类采购项目中标公告 | 2020.02.24 | 周宁县精神康复医院 | 福建禾海天成项目管理有限公司中标公告 | 福建 | 货物/专用设备/医疗设备/其他医疗设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919167.htm
南安市自然资源局霞美镇单元控规整合修编1：1000航测地形图测绘服务项目采购服务类采购项目结果公告(包1) | 2020.02.24 | 南安市自然资源局 | 泉州中泰招标代理有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918870.htm
永安市槐南镇槐南村生活垃圾填埋场封场工程结果公告(包1) | 2020.02.24 | 永安市槐南镇人民政府 | 永安市燕城招标代理有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918871.htm
云霄光电高新技术创业服务中心大楼物业管理服务结果公告(包1) | 2020.02.24 | 云霄县云陵工业开发区管理委员会 | 锐驰项目管理有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918863.htm
北京市公安局丰台分局2019年丰台区雪亮工程建设项目-公共区域防雷接地部分中标公告 | 2020.02.24 | 北京市公安局丰台分局 | 北京德音招标代理有限公司中标公告 | 北京 | 货物/通用设备/电气设备/避雷器 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918968.htm
市政管理处烟台路（G204至上海路）道路维修等五项工程设计成交公告 | 2020.02.24 | 市政管理处 | 青岛新世宇咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918826.htm
市政管理处烟台路（G204至上海路）道路维修等五项工程设计成交公告 | 2020.02.24 | 市政管理处 | 青岛新世宇咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918824.htm
临沂市河东区人民政府朝阳街道办事处无害化厕所购置及安装工程中标公告 | 2020.02.24 | 临沂市河东区人民政府朝阳街道办事处,临沂市河东区人民政府朝阳街道办事处,临沂市河东区人民政府朝阳街道办事处,临沂市河东区人民政府朝阳街道办事处,临沂市河东区人民政府朝阳街道办事处 | 山东正平招标咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918789.htm
成都市锦江区消防救援大队防护装备采购项目中选公告 | 2020.02.24 | 成都市锦江区消防救援大队 | 四川云灿招标代理有限公司中标公告 | 四川 | 货物/专用设备/政法、检测专用设备/防护防暴装备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918803.htm
临沂市河东区梅家埠街道无害化厕所购置及安装工程中标公告 | 2020.02.24 | 临沂市河东区人民政府梅家埠街道办事处,临沂市河东区人民政府梅家埠街道办事处,临沂市河东区人民政府梅家埠街道办事处,临沂市河东区人民政府梅家埠街道办事处,临沂市河东区人民政府梅家埠街道办事处 | 山东正平招标咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918775.htm
北京市公安局丰台分局2019年丰台区雪亮工程建设项目-公共区域前端建设部分中标公告 | 2020.02.24 | 北京市公安局丰台分局 | 北京德音招标代理有限公司中标公告 | 北京 | 货物/通用设备/广播、电视、电影设备/视频节目制作和播控设备/专业摄像机和信号源设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918972.htm
兰陵镇地质灾害区搬迁项目景观工程中标公告 | 2020.02.24 | 兰陵县兰陵镇人民政府 | 山东金安泰建设项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918802.htm
兰陵镇地质灾害区搬迁项目绿化工程中标公告 | 2020.02.24 | 兰陵县兰陵镇人民政府 | 山东金安泰建设项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918799.htm
鹏城实验室基于高级语言FPGA编译优化工具采购项目中标公告 | 2020.02.24 | 鹏城实验室 | 深圳市华昊信息技术有限公司中标公告 | 广东 | 货物/通用设备/计算机设备及软件/计算机软件/其他计算机软件 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918778.htm
阳江市江城区人民医院医疗设备招标采购项目中标公告（招标编号：YJCY-HW-1902） | 2020.02.24 | 江城区人民医院 | 广东五洲医采电子商务有限公司阳江分公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918791.htm
城维计划-身边项目，全民设计（“身边项目创客做”设计咨询）的中标、成交公告 | 2020.02.24 | 广州市规划和自然资源局 | 广东极采招标有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918780.htm
广东省南丰强制隔离戒毒所警务通信服务采购项目中标公告 | 2020.02.24 | 广东省南丰强制隔离戒毒所 | 中国远东国际招标有限公司中标公告 | 广东 | 服务/电信和其他信息传输服务/其他电信和信息传输服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918777.htm
2019年利津县棉花价格补贴-北宋镇0.5万亩棉田基础设施建设项目施工中标公告 | 2020.02.24 | 利津县北宋镇人民政府 | 山东方大项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918759.htm
中央电视台光华路办公区4K播出系统（一期）服务（一）播出控制及管理系统软件及IT系统集成、频道包装软件集成、视音频切换、处理及周边系统硬件集成（第2次）中标公告第04包 | 2020.02.24 | 中央电视台 | 中国远东国际招标有限公司中标公告 | 北京 | 服务/文化、体育、娱乐服务/广播、电视、电影和音像服务/广播电视传输服务 | http://www.ccgp.gov.cn/cggg/zygg/zbgg/202002/t20200224_13918745.htm
北京市公安局丰台分局2019年丰台区雪亮工程建设项目-区级视综平台扩容部分中标公告 | 2020.02.24 | 北京市公安局丰台分局 | 北京德音招标代理有限公司中标公告 | 北京 | 货物/其他货物/其他不另分类的物品 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919069.htm
揭阳大南海石化工业区建设管理局揭阳大南海石化工业区政务服务中心办公及宿舍配套设施项目的中标、成交公告 | 2020.02.24 | 揭阳大南海石化工业区建设管理局 | 揭阳市公共资源交易中心中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918719.htm
临沂市兰山区沂田庄安全度汛和水利工程修复项目中标公告 | 2020.02.24 | 临沂市兰山区半程镇人民政府 | 山东东乘信项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918709.htm
深圳市光明区马田小学网络与信息设备管理服务中标公告 | 2020.02.24 | 深圳市光明区马田小学 | 广东采联采购科技有限公司中标公告 | 广东 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918946.htm
教育部学位与研究生教育发展中心专业学位水平评估平台项目中标公告 | 2020.02.24 | 教育部学位与研究生教育发展中心 | 中化商务有限公司中标公告 | 北京 | 服务/信息技术服务/信息系统集成实施服务/软件集成实施服务,服务/信息技术服务/软件开发服务/应用软件开发服务/行业应用软件开发服务 | http://www.ccgp.gov.cn/cggg/zygg/zbgg/202002/t20200224_13918692.htm
通榆县文化馆元宵节灯展服务项目中标公告 | 2020.02.24 | 通榆县文化馆 | 通榆县机关事务服务中心政府集中采购科中标公告 | 吉林 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918686.htm
临沂市河东区郑旺镇无害化厕所购置及安装工程中标公告 | 2020.02.24 | 临沂市河东区郑旺镇人民政府 | 临沂浩轩工程咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918682.htm
深圳市光明区马田小学饭堂管理服务中标公告 | 2020.02.24 | 深圳市光明区马田小学 | 广东采联采购科技有限公司中标公告 | 广东 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918897.htm
菏泽高新区吕陵镇生态农业采摘园项目（二次）中标公告 | 2020.02.24 | 菏泽高新技术产业开发区吕陵镇人民政府 | 天勤工程咨询有限公司菏泽分公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918680.htm
临沂市河东区凤凰岭街道无害化厕所购置及安装工程中标公告 | 2020.02.24 | 临沂市河东区人民政府凤凰岭街道办事处,临沂市河东区人民政府凤凰岭街道办事处 | 山东省国际招标有限公司临沂分公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918679.htm
北京市朝阳区将台乡人民政府将府锦苑社区卫生服务站装修建设项目中标公告 | 2020.02.24 | 北京市朝阳区将台乡人民政府 | 华诚博远工程咨询有限公司中标公告 | 北京 | 服务/工程咨询管理服务/工程监理服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918638.htm
汕头职业技术学院嵌入式综合实训室建设项目成交公告【采购编号：PZH020A010】 | 2020.02.24 | 汕头职业技术学院 | 广东平正招标采购服务有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918653.htm
纳雍﹒天河实验学校会议室系统、室外LED全彩显示屏、教师办公室设备采购项目中标（成交）公告 | 2020.02.24 | 纳雍县教育科技局 | 华睿诚项目管理有限公司中标公告 | 贵州 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918647.htm
昆明医科大学第二附属医院处方前置审核软件采购项目中标公告 | 2020.02.24 | 昆明医科大学第二附属医院 | 云南招标股份有限公司中标公告 | 云南 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918646.htm
威海国有资产经营（集团）有限公司非公开发行公司债券主承销商采购项目中标公告 | 2020.02.24 | 威海国有资产经营（集团）有限公司 | 威海市天垣工程咨询管理有限公司中标公告 | 山东 | 服务/金融服务/证券服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918643.htm
